VisaA.
Name,Number
Jawaharlal Nehru Technological University,11
University Of Southern California,11
Anna University Chennai,7
San Jose State University,6
University Of California,6
Anna University,5
University Of Central Missouri,5
University Of Mumbai,4
Arizona State University,4
Carnegie Mellon University,4
Cornell University,4
Northwestern Polytechnic University,4
