Populus Group
Name,Number
Anna University,8
 Jawaharlal Nehru Technological University,6
 Anna University Chennai,4
 Osmania University,4
 University Of Madras,4
 University Of Mumbai,4
 University Of Pune,4
 Visveswaraiah Technological University,4
 Michigan Technological University,4
 Andhra University,3
 Madurai Kamaraj University,3
 West Bengal University Of Technology,3
