Factset Research Systems
Name,Number
Northeastern University,6
 Georgia Institute Of Technology,3
 New York University,3
 State University Of New York At Buffalo,3
 Arizona State University,2
 Columbia University,2
 Rochester Institute Of Technology,2
 The State University Of New York At Buffalo,2
 University Of Florida,2
 Na,1
 Vrije Universiteit Amsterdam,1
 Visveswaraiah Technological University,1
