Quicken Loans
Name,Number
Anna University,5
 Wayne State University,5
 University Of North Carolina At Charlotte,4
 University Of Windsor,3
 Uttar Pradesh Technical University,3
 Northern Illinois University,3
 Wright State University,3
 Acharya Nagarjuna University,2
 Bharathidasan University,2
 Indira Gandhi National Open University,2
 Jawaharlal Nehru Technological University,2
