Oath Holdings
Name,Number
University Of Southern California,42
 San Jose State University,17
 New York University,13
 State University Of New York At Buffalo,12
 Columbia University,11
 North Carolina State University,11
 Carnegie Mellon University,10
 Northeastern University,10
 Indiana University,9
 University Of Illinois,9
 The University Of Texas At Dallas,8
 University Of Texas At Dallas,7
