Whatsapp
Name,Number
Carnegie Mellon University,4
 Columbia University,3
 Georgia Institute Of Technology,3
 Northwestern University,2
 University Of Florida,2
 University Of Michigan,2
 University Of Southern California,2
Ukraine,1
 Ural Federal University,1
 Udmurt State University,1
 Moscow Institute Of Physics And Technology,1
