Mindtree
Name,Number
Jawaharlal Nehru Technological University,39
 Visveswaraiah Technological University,15
 Anna University,31
 University Of Madras,28
 Bangalore University,18
 Osmania University,16
 Anna University Chennai,15
 University Of Pune,14
 Andhra University,13
 Bharathiar University,12
 Visvesvaraya Technological University,11
