Tesla
Name,Number
Texas Am University,17
 University Of Southern California,17
 Purdue University,14
 North Carolina State University,13
 State University Of New York At Buffalo,8
 The Leland Stanford Junior University,8
 The Ohio State University,8
 The University Of Texas At Arlington,8
 Instituto Tecnologico Y De Estudios Superiores De Monterrey,7
 San Jose State University,7
 The University Of Michigan,7
