Optum Services
Name,Number
Jawaharlal Nehru Technological University,25
 Anna University,16
 Osmania University,9
 Jawaharlal Nehru Technological University Hyderabad,8
 University Of Madras,8
 University Of Central Missouri,7
 University Of Mumbai,6
 Andhra University,5
 Kakatiya University,5
 Anna University Chennai,4
 Bharathiar University,4
 Birla Institute Of Technology And Science,4
