"Amazon,Com Services"
Name,Number
University Of Southern California,584
 Carnegie Mellon University,325
 Arizona State University,314
 Northeastern University,281
 New York University,247
 North Carolina State University,232
 The University Of Texas At Dallas,174
 State University Of New York At Buffalo,161
 University Of Florida,154
 San Jose State University,152
 University Of Texas At Dallas,151
 Georgia Institute Of Technology,149
