Accenture
Name,Number
University Of Mumbai,61
 Anna University,53
 Jawaharlal Nehru Technological University,53
 Visveswaraiah Technological University,49
 University Of Pune,33
 Uttar Pradesh Technical University,33
 University Of Madras,28
 Osmania University,27
 Visvesvaraya Technological University,23
 Andhra University,18
 University Of Technology Of Madhya Pradesh,18
