Itech Us
Name,Number
Osmania University,6
 Acharya Nagarjuna University,4
 Bharathiar University,4
 University Of Madras,4
 Anna University,3
 Jawaharlal Nehru Technological University,3
 Kakatiya University,3
 Manipal Academy Of Higher Education,3
 Andhra University,2
 Northwestern Polytechnic University,2
 Texas Am University  Kingsville,2
 University Of Bridgeport,2
