Prokarma
Name,Number
Jawaharlal Nehru Technological University,6
Osmania University,24
Anna University,15
University Of Central Missouri,12
Uttar Pradesh Technical University,11
Andhra University,10
Kakatiya University,7
Northwestern Polytechnic University,7
University Of Madras,6
Visveswaraiah Technological University,6
