Lyft
Name,Number
Carnegie Mellon University,23
 University Of Southern California,13
 Columbia University,12
 University Of Waterloo,11
 University Of Michigan,9
 University Of California Berkeley,8
 University Of California,8
 Duke University,7
 Cornell University,6
 Stanford University,6
 Arizona State University,5
 Harvard University,5
