Qualcomm
Name,Number
Arizona State University,73
University Of Southern California,68
North Carolina State University,47
The University Of Texas At Dallas,43
San Diego State University,33
San Jose State University,32
The University Of Texas At Arlington,32
University Of California,30
University Of Minnesota,26
Virginia Polytechnic Institute And State University,26
The University Of Florida,25
University Of Colorado,22
