"Goldman, Sachs"
Name,Number
New York University,22
 Columbia University,21
 Carnegie Mellon University,9
 Brigham Young University,7
 Massachusetts Institute Of Technology,7
 Cornell University,6
 Boston University,5
 Stanford University,5
 Stevens Institute Of Technology,5
 The University Of Chicago,5
 University Of Southern California,5
 Bangalore University,4
