Synapsis
Name,Number
Anna University,18
Jnt University,17
Andhra University,7
University Of Illinois At Springfield,7
Acharya Nagarjuna University,6
University Of Central Missouri,6
University Of Illinois Springfield,5
Bharathidasan University,4
University Of Madras,4
Northwestern Polytechnic University,4
University Of Cumberlands,4
Biju Patnaik University Of Technology,3
