Mastercard International
Name,Number
Jawaharlal Nehru Technological University,19
 Anna University,10
 University Of Madras,9
 Osmania University,6
 University Of Mumbai,6
 Stratford University,5
 Bharathidasan University,4
 Birla Institute Of Technology And Science,4
 Cornell University,4
 University Of Missouri,4
 Acharya Nagarjuna University,3
 Andhra University,3
