Ust Global
Name,Number
University Of Kerala,30
 Cochin University Of Science And Technology,21
 Mahatma Gandhi University,19
 University Of Calicut,17
 Bharathiar University,9
 Anna University Chennai,6
 Indira Gandhi National Open University,6
 Madurai Kamaraj University,6
 Anna University,5
 Annamalai University,5
 Bharathidasan University,5
 Kannur University,4
