Amazon Development Center
Name,Number
University Of Southern California,36
State University Of New York At Buffalo,17
Northeastern University,13
Arizona State University,12
Carnegie Mellon University,11
University Of California,10
Boston University,9
Duke University,9
North Carolina State University,8
San Jose State University,8
Georgia Institute Of Technology,7
New York University,7
