Luxoft Usa
Name,Number
Dnipropetrovsk National University,8
 National Technical University Of Ukraine Kyiv Polytechnic Institute,8
Ukraine,8
 Taras Shevchenko National University Of Kyiv,7
 National Technical University Of Ukraine,4
 Donetsk National Technical University,3
 National Aviation University,3
