Government Employees Insurance Company (Geico)
Name,Number
Jawaharlal Nehru Technological University,20
 Anna University,11
 Osmania University,9
 Andhra University,7
 Acharya Nagarjuna University,5
 Bharathidasan University,4
 Birla Institute Of Technology And Science,4
 Mahatma Gandhi University,4
 University Of Madras,4
 University Of Mumbai,4
 Uttar Pradesh Technical University,4
 University Of Central Missouri,4
