Nike
Name,Number
Anna University,14
Jawaharlal Nehru Technological University,11
Acharya Nagarjuna University,5
Visvesvaraya Technological University,5
Bharathidasan University,4
Birla Institute Of Technology And Science,4
Portland State University,4
Anna University Chennai,3
Cochin University Of Science And Technology,3
Osmania University,3
University Of Calicut,3
