"Verizon Communications, & All Its Subsidiaries & Affiliates"
Name,Number
Anna University,26
Jawaharlal Nehru Technological University,22
Visveswaraiah Technological University,14
University Of Madras,10
Andhra University,8
Osmania University,8
Bharathidasan University,6
University Of Mumbai,6
University Of Technology Of Madhya Pradesh,6
Uttar Pradesh Technical University,6
The University Of Texas At Dallas,6
