Ntt Data
Name,Number
Anna University,43
 Jawaharlal Nehru Technological University,31
 Osmania University,22
 Andhra University,17
 Visveswaraiah Technological University,9
 Acharya Nagarjuna University,12
 University Of Madras,8
 Anna University Chennai,7
 Bharathiar University,7
 Kakatiya University,7
