Intel
Name,Number
Arizona State University444,444
 Portland State University270,270
 University Of Southern California254,254
 San Jose State University143,143
 The University Of Texas At Dallas139,139
 North Carolina State University134,134
 Purdue University107,107
" California State University, Sacramento94",94
 The University Of Florida94,94
 University Of Minnesota90,90
 Texas Am University87,87
 Texas A&M University66,66
