Uber Technologies
Name,Number
Carnegie Mellon University53,53
 University Of Southern California32,32
 New York University18,18
 Cornell University14,14
 Duke University12,12
 The Leland Stanford Junior University12,12
 University Of California12,12
 Columbia University11,11
" University Of Waterloo,Canada10",10
 Arizona State University10,10
 North Carolina State University10,10
 Northeastern University10,10
